P0001,I0001,M0001,A0001,2023,4,23,20,22,12,12.340000,1,0.000000,0.617000,12.340000
P0001,I0003,M0001,A0001,2023,4,23,20,22,12,23.450000,2,0.000000,2.345000,46.900000
P0002,I0003,M0002,S0002,2023,4,23,20,22,33,34.560000,3,0.000000,5.184000,103.680000
P0003,I0004,M0004,S0004,2023,4,23,20,22,51,45.670000,12,0.000000,27.402000,548.040000
P0004,I0001,M0001,A0001,2023,4,23,20,22,12,12.340000,1,0.000000,0.617000,12.340000
P0004,I0002,M0001,A0001,2023,4,23,20,22,12,23.450000,2,0.000000,2.345000,46.900000
P0006,I0003,M0002,S0002,2023,4,23,20,22,33,34.560000,3,0.000000,5.184000,103.680000
P0007,I0004,M0004,S0004,2023,4,23,20,22,51,45.670000,12,0.000000,27.402000,548.040000
P0008,I0001,M0001,A0001,2023,4,23,22,12,21,89.990000,1,0.000000,4.499500,89.990000
P0008,I0002,M0001,A0001,2023,4,23,22,12,21,59.990000,2,0.000000,5.999000,119.980000
P0008,I0003,M0001,A0001,2023,4,23,22,12,21,17.990000,3,0.000000,2.698500,53.970000
P0009,I0007,M0002,A0002,2023,4,23,22,46,59,39.990000,1,0.000000,1.999500,39.990000
P0010,I0009,M0005,A0001,2023,4,23,22,51,15,36.990000,2,0.000000,3.699000,73.980000
P0011,I0009,M0004,A0001,2023,4,23,23,5,35,36.990000,2,0.000000,3.699000,73.980000
P0012,I0010,M0009,A0001,2023,4,23,23,52,16,49.990000,20,0.000000,49.990000,999.800000
P0013,I0009,M0002,A0002,2023,4,24,0,50,44,36.990000,2,0.000000,3.699000,73.980000
P0013,I0004,M0002,A0002,2023,4,24,0,50,44,79.990000,3,0.000000,11.998500,239.970000
P0014,I0007,M0009,A0001,2023,4,25,18,30,0,39.990000,23,0.000000,45.988500,919.770000
P0015,I0008,M0009,A0001,2023,4,25,18,52,51,119.990000,2,0.000000,11.999000,239.980000
P0016,I0001,M0009,A0002,2023,4,25,19,48,36,59.990000,4,0.000000,5.999000,119.980000
